matrix,n,lambda_min,lambda_max,cond
spa1.mtx,1000,4.8797885965991844e-01,9.9945576249608371e+02,2.0481538138611641e+03
spa2.mtx,3000,2.1235317898526800e+00,2.9983585105003008e+03,1.4119678004482862e+03
vem1.mtx,1681,1.2321162236174538e-02,3.9999904971686870e+00,3.2464392729322589e+02
vem2.mtx,2601,7.8891924862175868e-03,3.9999961061993741e+00,5.0702224761119265e+02
